,city,job_id,need_for_position,post_date,preferred_skill,salary_lower,salary_upper,state
0,Lexington Park,SC4-1322959,"- Bachelor's Degree or higher in Engineering or Science Degree More Than 5 Years of experience and knowledge of: - C, C++, C#, Java, Perl - Git, Scrum - SQL - JavaScript - ASP.NET/VB.NET Plus Skills! + Aviation or Defense Experience **Able to clear security investigation and government background check**",02/02/2017,"C#, SQL, Javascript, ASP.NET",100000,140000,MD
1,Jersey City,KB6-1330411,"- Extensive hands-on technical experience in UNIX, IDE , Java/J2EE, Python, Linux/Unix shell scripting - Knowledge on Middleware, web servers, databases & SQL queries (Oracle/MySQL) - Knowledge of application and infrastructure monitoring tools and technologies. - Excellent technical and non-technical presentation, communication and inter-personal skills - Desirable skills and experience: Nice-to-have skills: - Understanding of W3C standards and experience in addressing cross-browser and platform compatibility issues. - Good understanding of XHTML, HTML5 and CSS. - Familiarity with classical programming concepts such as polymorphism, inheritance, and encapsulation. - Exposure to MVC, Spring, Regular expressions, Junit",01/26/2017,"Unix, IDE, Java/J2EE, Python, Linux, HTML5/CSS3, SQL",90000,120000,NJ
2,Richland,DN2-1338782,At Least 1 Year of experience and knowledge of: - C# - ASP.NET - SQL - JavaScript - WPF,01/27/2017,"C#, ASP.NET, SQL, Javascript, WPF and XAML",80000,110000,WA
3,New York City,JC6-1324151,Less Than 1 Year of experience and knowledge of: - Python - Ruby on Rails - JavaScript - Django,02/16/2017,"Python, Ruby on Rails, Javascript",50000,140000,NY
4,West Hollywood,BC2-1331717,"- Experience with highly available, multi-tenant, cloud-deployed applications. - A BS/BA in Computer Science, or related field, and a strong interest in investment management. - Experience in multi-threaded application environments. - Knowledge of SQL and NoSQL database architectures. - Experience with Git.  - Expert programming in JVM languages, C# .NET, Python, or other non-Javascript based modern language.",02/15/2017,"JVM, C#, .NET, NoSQL, Git",90000,110000,CA
5,Reston,CD-1314960,"• Minimum 5 years of professional experience in progressively more senior software engineering roles • Minimum 5 years of experience with Unix internals; Java or .NET; XML/JSON; Oracle, Postgres or SQL Server; application frameworks (e.g. J2EE, JBOSS, Spring, Hibernate, OSGI) • Minimum 5 years of experience with web services applications... RESTful designs preferred • Minimum 5 years of hands-on experience with database programming in Java or .NET with Oracle, Postgres, or other RDBMS • Experience with one or more of the following is desired: scala, service oriented architectures, continuous integration, automated configuration management B.S. Computer Science or related field (or equivalent experience)... M.S. Computer Science highly preferred - Java 7 - Scala - Akka - Angular.js - Hibernate - PostgresSQL -  Cassandra - SOAP/REST/XML/JSON",02/16/2017,"Java 7, Scala, Akka, Angular.js, Hibernate, PostgresSQL, Cassandra, SOAP/REST/XML/JSON",110000,160000,VA
6,Broomfield,TP2-1346300,Extensive Experience/Knowledge: -Degree in Applied Mathematics(PhD.)/MS Engineering - C++ - 3D Geometric Modeling - Developing Algorithms,02/09/2017,"C++, 3D Geometry, Geo-Spatial",100000,150000,CO
7,Tampa,CP2-1321351,At Least 1 Year of experience and knowledge of: - .NET - C# - SQL - JavaScript - HTML - CSS - RESTful - JQuery - Angular.js,01/18/2017,".NET, C#, SQL, Javascript, HTML, CSS, RESTful, jQuery, Angular.js",60000,110000,FL
8,Seattle,RC1-1143623,"- We are looking for great developers who strive to always get better 
- Strong Python/Django experience 
-HTML/CSS/JS 
-AWS",01/05/2017,"Python, Django, Javascript, Backbone, jQuery",85000,130000,WA
9,Seattle,RC1-1180817,"At Least 3 Years of experience and knowledge of: 
 
- Python 
- Django 
- Ruby on Rails 
- JavaScript",01/05/2017,"Python, Django, Ruby on Rails, Javascript",80000,120000,WA
