,city,job_id,need_for_position,post_date,preferred_skill,salary_lower,salary_upper,state
0,Newton,BA-1277535,"- BS (min GPA 3.5) or MS or PhD in science, engineering or math, with a focus on life sciences. A degree in biology, chemistry, bioinformatics or similar would be ideal. - Understanding of data and the ability to interpret large volumes of data to draw conclusions. - Software development experience in one or more of the following: Java, R, Python, C, C#, C++. - Experience of the life sciences / pharmaceutical industry (e.g. an internship, academic project or commercial experience) would be an advantage. - Excellent written and verbal communication skills and the ability to explain complex technical solutions to customers and colleagues from all backgrounds.",02/23/2017,"Data Analytics, Informatics, Life Sciences . Pharmaceutical Industry, Java, Python",100000,130000,MA
1,Sunnyvale,BF1-1327877,"- Networking/Security  - Experience with big data technologies: Spark, Kafka, Hadoop, ElasticSearch, MongoDB - Python or C/C++ or Scala or Java - Machine learning",02/23/2017,"Python, C/C++, Networking, Security, Apache Spark, Kafka, elasticsearch, mongodb",150000,200000,CA
2,Mercer Island,RM2-1335019,More Than 3 Years of experience and knowledge of: - Big Data - Predictive Modeling - Hypothesis Testing - algorithm development,02/23/2017,"Big Data, Predictive Modeling, Algorithm Development, Data Mining, Random Forest, Bayesian Networks, Bayesian Modeling, Markov Chains, NoSQL Databases, SQL Databases",NA,NA,WA
3,Redwood City,AW2-1341356,"Requirements: Bachelors in Computer Science or Equivalent- Masters or PhD preferred At Least 3  Years of experience and knowledge of: - Machine Learning (regression analysis, time series, probalistic models, supervised classification, unsupervised learning) - MapReduce -JavaScript -Python/ R Pluses:  - Java/Scala - Cyber-Physical Systems - GitHub/Portfolio -Mathematical Background",02/23/2017,"Machine Learning, Python, R, Mapreduce, Javascrip, SPARK, Streaming",140000,225000,CA
4,Portland,CS9-1346787,"Experience and knowledge of: - Machine Learning - Data Mining - Python - ETL BI, and data pipelines - R (tech similar to R as well)  - Hadoop - Advanced Statistical Analysis - Untested/ unstructured data",02/23/2017,"Machine Learning, Data Mining, Python, ETL BI, and data pipelines, R, Hadoop, Advanced Statistical Analysis",100000,120000,OR
5,Needham,PD2-1346845,"- BS with a focus on life sciences. A degree in biology, chemistry, bioinformatics or similar would be ideal - Ability to interpret large volumes of data - Experience with Java, R, Python, C, C#, C++ - Experience in Life Science / Pharmaceutical Nice to have skills include: - Excellent written and verbal communication skills  - Ability to quickly learn new technologies - 1-5 years of industry experience- Life Sciences",02/23/2017,"Data Analytics, Life Sciences, Pharmaceuticals, Java, Python, Informatics",100000,130000,MA
6,Seattle,RM2-1346990,More Than 3 Years of experience and knowledge of: - Big Data - Predictive Modeling - algorithm development - Data Mining - Random Forest - Bayesian Networks/modeling - Markov chains - SQL Databases - NoSQL Databases,02/23/2017,"Big Data, Predictive Modeling, Algorithm Development, Data Mining, Random Forest, Bayesian Networks, Bayesian Modeling, Markov Chains, NoSQL Databases, SQL Databases",NA,NA,WA
7,Newport Beach,MM5-1350722,At Least 3 Years of experience and knowledge of: - Machine Learning - Python - Linux - Java - Scala - R - SPARK,02/20/2017,"Machine Learning, Python, Linux, Java, Scala, R, SPARK",NA,NA,CA
8,Newport Beach,MM5-1348187,At Least 3 Years of experience and knowledge of: - Machine Learning - Python - Linux - Java - Scala - R - SPARK,02/23/2017,"Machine Learning, Python, Linux, Java, Scala, R, SPARK",NA,NA,CA
9,Redwood City,BK-1353240,"- Expertise with large scale data manipulation, mining and Modeling - Solid experience with Machine Learning - Solid experience with statistical analysis - Experience with Hadoop - Strong Python and R programming experience - Natural Language Processing is a plus - AWS experience",03/03/2017,"Machine Learning, Graph Analytics, Statistical Modeling, Data Analytics, Python, R, Hadoop, AWS",150000,200000,CA
